filename, repetitions, num_primitive
../lattice_files/pyro_1_2_10x28,24,20b-4,-4,-8b-4,-4,0b1.json 1, 20
../lattice_files/pyro_1_4_4x-12,0,-4b8,4,4b4,4,0b1.json 4, 16
../lattice_files/pyro_1_1_18x-12,-16,-12b20,36,16b-4,-8,-4b1.json 1, 18
../lattice_files/pyro_1_2_8x-12,-8,-4b8,12,4b4,4,0b1.json 1, 16
../lattice_files/pyro_1_1_16x16,12,4b24,28,4b-4,-4,0b1.json 1, 16
../lattice_files/pyro_1_1_12x12,4,8b20,4,24b-4,0,-4b1.json 3, 12
../lattice_files/pyro_1_1_21x4,8,20b28,-12,16b-8,4,-4b1.json 1, 21
../lattice_files/pyro_1_2_12x0,4,20b8,8,-24b-4,-4,8b1.json 6, 24
../lattice_files/pyro_1_2_10x-16,-4,-12b8,4,12b-4,0,-4b1.json 1, 20
../lattice_files/pyro_1_1_12x0,4,12b4,12,8b0,4,4b1.json 1, 12
../lattice_files/pyro_1_2_10x0,4,-20b4,4,8b4,4,0b1.json 1, 20
../lattice_files/pyro_1_2_12x36,4,16b-4,4,0b-8,-4,-4b1.json 21, 24
../lattice_files/pyro_1_1_11x-4,-12,0b-4,-16,12b0,4,-4b1.json 3, 11
../lattice_files/pyro_1_1_16x12,8,12b-8,-12,4b-4,-4,0b1.json 3, 16
../lattice_files/pyro_1_1_11x8,12,12b8,4,-4b4,4,0b1.json 1, 11
../lattice_files/pyro_1_1_20x12,8,12b4,12,-8b0,-4,4b1.json 1, 20
../lattice_files/pyro_1_1_17x8,-4,-4b12,-16,-28b4,-4,-8b1.json 2, 17
../lattice_files/pyro_1_1_16x8,-4,-4b8,12,4b-4,-4,0b1.json 2, 16
../lattice_files/pyro_1_1_13x0,-12,-4b-12,-28,-16b4,8,4b1.json 2, 13
../lattice_files/pyro_1_1_16x0,12,4b-12,-16,-4b-4,-4,0b1.json 1, 16
../lattice_files/pyro_1_1_17x-4,-4,8b-12,-20,8b-4,-8,4b1.json 2, 17
../lattice_files/pyro_1_1_24x-16,-4,-4b76,40,36b-8,-4,-4b1.json 2, 24
../lattice_files/pyro_1_1_13x4,12,0b-12,-20,8b-4,-8,4b1.json 1, 13
../lattice_files/pyro_1_4_4x-4,-12,0b0,-4,4b-4,-4,0b1.json 1, 16
../lattice_files/pyro_1_1_20x4,8,12b8,28,20b-4,-12,-8b1.json 2, 20
../lattice_files/pyro_1_1_11x-4,-12,-8b-4,-20,-24b0,-4,-4b1.json 2, 11
../lattice_files/pyro_1_1_13x12,8,12b28,12,16b8,4,4b1.json 1, 13
../lattice_files/pyro_1_1_12x-4,8,4b-4,-24,-20b0,4,4b1.json 2, 12
../lattice_files/pyro_1_1_20x-8,-12,-12b4,-12,-16b0,-4,-4b1.json 1, 20
../lattice_files/pyro_1_1_24x12,12,16b-36,-40,-76b4,4,8b1.json 2, 24
../lattice_files/pyro_1_1_20x4,-12,0b36,-4,32b-4,0,-4b1.json 1, 20
../lattice_files/pyro_1_4_4x-4,-4,8b0,-4,4b-4,-4,0b1.json 3, 16
../lattice_files/pyro_1_1_24x12,16,12b36,76,40b4,8,4b1.json 1, 24
../lattice_files/pyro_1_1_13x8,12,12b-12,-28,-16b4,8,4b1.json 1, 13
../lattice_files/pyro_1_1_17x0,-12,-4b-12,-40,-28b4,12,8b1.json 2, 17
../lattice_files/pyro_1_1_20x-12,0,4b-16,-12,4b4,4,0b1.json 3, 20
../lattice_files/pyro_1_1_14x4,20,0b0,-36,-20b0,16,8b1.json 1, 14
../lattice_files/pyro_1_1_24x-12,0,4b56,44,-12b-20,-16,4b1.json 1, 24
../lattice_files/pyro_1_1_21x-16,-16,-24b12,28,40b-4,-8,-12b1.json 1, 21
../lattice_files/pyro_1_1_18x16,4,12b-28,4,-24b4,0,4b1.json 1, 18
../lattice_files/pyro_1_2_12x12,4,16b8,-4,12b-4,0,-4b1.json 2, 24
../lattice_files/pyro_1_1_16x12,16,4b28,24,4b-4,-4,0b1.json 2, 16
../lattice_files/pyro_1_4_4x-12,-4,0b-8,-4,-4b-4,-4,0b1.json 3, 16
../lattice_files/pyro_1_1_15x4,0,12b12,8,4b4,4,0b1.json 1, 15
../lattice_files/pyro_1_1_14x4,-4,8b-12,8,-4b4,-4,0b1.json 2, 14
../lattice_files/pyro_1_1_18x8,4,12b20,16,4b-4,-4,0b1.json 1, 18
../lattice_files/pyro_1_1_15x-20,-8,-4b32,12,20b-12,-4,-8b1.json 7, 15
../lattice_files/pyro_1_1_15x4,8,-4b-20,4,24b4,0,-4b1.json 5, 15
../lattice_files/pyro_1_1_20x0,4,-12b4,-16,20b0,-4,4b1.json 1, 20
../lattice_files/pyro_1_1_21x4,12,16b-4,-28,-24b0,-4,-4b1.json 1, 21
../lattice_files/pyro_1_1_17x0,4,12b-8,-12,-4b4,4,0b1.json 1, 17
../lattice_files/pyro_1_2_10x4,0,12b8,-4,12b-4,0,-4b1.json 1, 20
../lattice_files/pyro_1_1_13x-4,8,-4b-4,-12,8b0,-4,4b1.json 2, 13
../lattice_files/pyro_1_1_20x12,0,4b-4,-12,8b0,-4,4b1.json 1, 20
../lattice_files/pyro_1_2_12x-12,-32,4b4,8,4b0,4,-4b1.json 16, 24
../lattice_files/pyro_1_1_14x20,16,20b20,20,-16b-8,-8,8b1.json 2, 14
../lattice_files/pyro_1_1_14x-8,-12,-4b-20,-12,-8b-8,-4,-4b1.json 1, 14
../lattice_files/pyro_1_1_15x-8,-4,-12b24,4,20b-4,0,-4b1.json 1, 15
../lattice_files/pyro_1_1_21x0,12,4b-12,16,28b4,-4,-8b1.json 1, 21
../lattice_files/pyro_1_1_18x16,12,12b-36,-20,-16b8,4,4b1.json 1, 18
../lattice_files/pyro_1_2_12x36,32,20b-4,-8,-4b-8,-4,-4b1.json 16, 24
../lattice_files/pyro_1_1_13x0,4,12b-12,-8,4b-4,-4,0b1.json 1, 13
../lattice_files/pyro_1_1_11x4,-8,4b-12,8,-20b-4,4,-8b1.json 1, 11
../lattice_files/pyro_1_1_14x4,12,0b20,16,4b-4,-4,0b1.json 1, 14
