0x0000ffff
0x0005fffa
0x000afff5
0x000ffff0
0x0014ebff
0x001eebf5
0x0028d7ff
0x002dd7fa
0x003cc3ff
0x0041beff
0x004bbef5
0x0050ffaf
0x0055aaff
0x0055bbee
0x0055eebb
0x0055ffaa
0x005affa5
0x005faaf5
0x005fbbe4
0x005feeb1
0x005fffa0
0x006996ff
0x0078d7af
0x007d82ff
0x007d93ee
0x007dc6bb
0x007dd7aa
0x00827dff
0x00877dfa
0x009669ff
0x00a0ff5f
0x00a5ff5a
0x00aa55ff
0x00aa77dd
0x00aadd77
0x00aaff55
0x00af55fa
0x00af77d8
0x00afdd72
0x00afff50
0x00b4eb5f
0x00be41ff
0x00be63dd
0x00bec977
0x00beeb55
0x00c33cff
0x00d27daf
0x00d728ff
0x00d739ee
0x00d76cbb
0x00d77daa
0x00e1be5f
0x00eb14ff
0x00eb36dd
0x00eb9c77
0x00ebbe55
0x00f0ff0f
0x00f5aa5f
0x00f5bb4e
0x00f5ee1b
0x00f5ff0a
0x00fa55af
0x00fa778d
0x00fadd27
0x00faff05
0x00ff00ff
0x00ff11ee
0x00ff22dd
0x00ff33cc
0x00ff44bb
0x00ff55aa
0x00ff6699
0x00ff7788
0x00ff8877
0x00ff9966
0x00ffaa55
0x00ffbb44
0x00ffcc33
0x00ffdd22
0x00ffee11
0x00ffff00
0x0300fffc
0x0314ebfc
0x0328d7fc
0x033cc3fc
0x0341befc
0x0350eebd
0x0350ffac
0x0355aafc
0x0355eeb8
0x036996fc
0x0378c6bd
0x0378d7ac
0x037d82fc
0x037dc6b8
0x03827dfc
0x039669fc
0x03a0dd7e
0x03a0ff5c
0x03aa55fc
0x03aadd74
0x03b4c97e
0x03b4eb5c
0x03be41fc
0x03bec974
0x03c33cfc
0x03d26cbd
0x03d27dac
0x03d728fc
0x03d76cb8
0x03e19c7e
0x03e1be5c
0x03eb14fc
0x03eb9c74
0x03f0cc3f
0x03f0dd2e
0x03f0ee1d
0x03f0ff0c
0x03f5887e
0x03f5aa5c
0x03f5cc3a
0x03f5ee18
0x03fa44bd
0x03fa55ac
0x03facc35
0x03fadd24
0x03ff00fc
0x03ff44b8
0x03ff8874
0x03ffcc30
0x0609fff0
0x0618ebf5
0x061debf0
0x0659aaf5
0x0659bbe4
0x0659eeb1
0x0659ffa0
0x06817dfa
0x068b7df0
0x069069ff
0x069569fa
0x069a69f5
0x069f69f0
0x06a955fa
0x06a977d8
0x06a9dd72
0x06a9ff50
0x06b841ff
0x06b863dd
0x06b8c977
0x06b8eb55
